lemma,pos,cefr
about,preposition,A1
action,noun,A1
actually,intj,A1
act,adv,A1
against,prep,A1
ago,adj,A1
ago,adverb,A1
ago,postp,A1
air,verb,A1
always,adverb,A1
American,name,A1
among,prep,A1
AND,adj,A1
anything,pronoun,A1
an,article,A1
an,conj,A1
an,noun,A1
April,noun,A1
are,verb,A1
art,noun,A1
ask,verb,A1
at,pron,A1
autumn,noun,A1
away,adj,A1
away,adv,A1
back,adj,A1
Back,name,A1
back,verb,A1
baseball,noun,A1
based,intj,A1
bedroom,noun,A1
behind,prep,A1
best,adjective,A1
better,adv,A1
between,noun,A1
be,noun,A1
Black,name,A1
blank,adjective,A1
both,adverb,A1
breathe,verb,A1
bring,intj,A1
building,noun,A1
bus,noun,A1
but,verb,A1
by,adv,A1
BY,name,A1
call,noun,A1
camp,noun,A1
catch,noun,A1
cause,verb,A1
chance,noun,A1
chance,verb,A1
check,verb,A1
child,verb,A1
choose,verb,A1
City,name,A1
class,adj,A1
clear,adj,A1
close,adjective,A1
club,noun,A1
cold,adjective,A1
common,noun,A1
control,verb,A1
cool,adjective,A1
CO,noun,A1
credit card,noun,A1
daughter,noun,A1
days,noun,A1
deal,noun,A1
death,noun,A1
de,verb,A1
dining room,noun,A1
down,noun,A1
do,adv,A1
do,noun,A1
do,num,A1
do,verb,A1
drama,noun,A1
during,verb,A1
each,pron,A1
each,pronoun,A1
either,conj,A1
else,adverb,A1
Else,name,A1
enough,intj,A1
Even,name,A1
everything,pron,A1
excellent,adjective,A1
face,adv,A1
fact,noun,A1
famous,adjective,A1
far,adj,A1
feel,adv,A1
field,noun,A1
fight,noun,A1
fish,noun,A1
Five,name,A1
following,verb,A1
football,noun,A1
for,prep,A1
found,verb,A1
free,num,A1
Friend,name,A1
from,prep,A1
front,adjective,A1
full,adj,A1
full,verb,A1
future,adj,A1
get,noun,A1
girl,noun,A1
given,prep,A1
Goes,name,A1
Going,name,A1
gonna,verb,A1
good,adj,A1
grade,noun,A1
great,intj,A1
group,noun,A1
group,verb,A1
Guys,name,A1
guy,noun,A1
Hand,name,A1
hand,noun,A1
happened,verb,A1
has,verb,A1
health,noun,A1
high,adjective,A1
Him,name,A1
history,noun,A1
Hit,name,A1
Home,name,A1
home,noun,A1
hope,noun,A1
House,name,A1
Human,name,A1
ice cream,noun,A1
important,adj,A1
include,noun,A1
including,prep,A1
into,preposition,A1
is,noun,A1
it,noun,A1
Job,name,A1
job,verb,A1
judge,verb,A1
killed,verb,A1
kiss,noun,A1
Land,name,A1
laugh,verb,A1
least,adj,A1
least,det,A1
least,prep_phrase,A1
leave,noun,A1
less,adv,A1
less,noun,A1
let,noun,A1
level,noun,A1
light,adjective,A1
likely,adj,A1
living room,noun,A1
local,noun,A1
long,adv,A1
long,verb,A1
looking,verb,A1
Low,name,A1
low,noun,A1
low,verb,A1
machine,noun,A1
makes,noun,A1
makes,verb,A1
many,det,A1
man,name,A1
march,verb,A1
matter,verb,A1
meal,noun,A1
MEAN,name,A1
mean,noun,A1
Men,name,A1
ME,name,A1
minute,noun,A1
Miss,noun,A1
month,noun,A1
more,adj,A1
More,name,A1
more,pron,A1
most,determiner,A1
move,noun,A1
much,adj,A1
must,modal auxiliary,A1
must,noun,A1
my,intj,A1
name,noun,A1
national,adj,A1
near,verb,A1
need,verb,A1
news,noun,A1
new,noun,A1
Nice,name,A1
nine,number,A1
nothing,intj,A1
nothing,pron,A1
No,noun,A1
number,noun,A1
number,verb,A1
off,noun,A1
of,verb,A1
oh,verb,A1
old,noun,A1
once,adv,A1
one,particle,A1
only,adjective,A1
on,prep,A1
on,verb,A1
or,prep,A1
others,noun,A1
others,verb,A1
other,noun,A1
outside,adverb,A1
Outside,name,A1
Over,name,A1
pardon,noun,A1
pay,noun,A1
people,verb,A1
perfect,noun,A1
period,noun,A1
per,det,A1
PER,noun,A1
phone,verb,A1
pink,adjective,A1
plan,verb,A1
please,intj,A1
please,verb,A1
police,noun,A1
police,verb,A1
political,noun,A1
pollution,noun,A1
Power,name,A1
Pretty,name,A1
Price,name,A1
princess,noun,A1
public,verb,A1
question,verb,A1
rainy,adjective,A1
ready,adj,A1
ready,noun,A1
really,adv,A1
really,verb,A1
reason,noun,A1
reason,verb,A1
record,adj,A1
reporter,noun,A1
Re,name,A1
re,prep,A1
right,verb,A1
road,noun,A1
role,noun,A1
room,adj,A1
running,adj,A1
run,adj,A1
same,adjective,A1
same,intj,A1
saying,verb,A1
says,noun,A1
says,verb,A1
section,noun,A1
service,noun,A1
shelf,noun,A1
She,name,A1
short,adv,A1
shows,verb,A1
Show,name,A1
sick,adjective,A1
since,adv,A1
site,verb,A1
size,noun,A1
Small,name,A1
snake,noun,A1
sometimes,adj,A1
song,noun,A1
south,adj,A1
south,noun,A1
SO,name,A1
space,verb,A1
special,adj,A1
special,verb,A1
stage,noun,A1
start,adv,A1
start,verb,A1
states,noun,A1
state,adj,A1
Stay,name,A1
story,noun,A1
street,adj,A1
street,noun,A1
strong,adj,A1
strong,noun,A1
study,noun,A1
sum,noun,A1
sure,intj,A1
swim,verb,A1
talking,noun,A1
talk,verb,A1
telephone,noun,A1
thanks,intj,A1
Than,name,A1
that,conj,A1
that,determiner,A1
that,noun,A1
there,adv,A1
the,adv,A1
think,verb,A1
this,det,A1
This,name,A1
this,noun,A1
thought,verb,A1
three,noun,A1
Times,name,A1
time,noun,A1
TOLD,noun,A1
tool,noun,A1
town,noun,A1
TO,noun,A1
trousers,noun,A1
true,adj,A1
trying,verb,A1
umbrella,noun,A1
understand,intj,A1
United,name,A1
up,adv,A1
use,verb,A1
using,noun,A1
us,det,A1
us,noun,A1
Very,name,A1
video,noun,A1
wait,noun,A1
wait,verb,A1
War,name,A1
war,noun,A1
water,noun,A1
well,intj,A1
when,intj,A1
when,pron,A1
whether,pron,A1
while,verb,A1
WHO,name,A1
why,intj,A1
Win,name,A1
within,prep,A1
without,adv,A1
with,prep,A1
won,verb,A1
Word,name,A1
working,adj,A1
work,noun,A1
world,noun,A1
would,noun,A1
would,verb,A1
years,noun,A1
yes,det,A1
yes,particle,A1
yes,verb,A1
young,noun,A1
you,noun,A1
accounts,noun,A2
acting,adj,A2
actually,adverb,A2
AD,adv,A2
affair,noun,A2
affected,verb,A2
AH,adv,A2
ah,verb,A2
alright,adjective,A2
announced,verb,A2
anxious,adjective,A2
anyway,adv,A2
appreciate,verb,A2
approximately,adv,A2
App,name,A2
argument,noun,A2
ARM,name,A2
Asia,noun,A2
attitude,noun,A2
author,noun,A2
avoid,verb,A2
bake,verb,A2
bank,verb,A2
bar,noun,A2
bar,verb,A2
bay,verb,A2
beauty,noun,A2
becoming,noun,A2
bed,verb,A2
believed,verb,A2
Below,name,A2
below,prep,A2
besides,adv,A2
bill,noun,A2
birthday,verb,A2
birth,noun,A2
blame,noun,A2
bookshop,noun,A2
Books,name,A2
born,verb,A2
boss,noun,A2
Brain,name,A2
brain,verb,A2
breakfast,noun,A2
breaking,verb,A2
Bridge,name,A2
Bright,name,A2
brown,noun,A2
bug,noun,A2
buildings,noun,A2
Canadian,noun,A2
cancer,adj,A2
Cancer,name,A2
can,noun,A2
capable,adj,A2
cards,noun,A2
Card,name,A2
career,verb,A2
CA,noun,A2
cell,verb,A2
centre,noun,A2
chain,verb,A2
chairman,noun,A2
chairman,verb,A2
challenge,noun,A2
challenge,verb,A2
charged,adj,A2
charged,verb,A2
Charles,name,A2
cheap,adv,A2
cheap,verb,A2
chest,noun,A2
Christmas,adj,A2
Christ,noun,A2
claims,noun,A2
climate,verb,A2
climb,verb,A2
closer,adj,A2
coffee,noun,A2
collected,adj,A2
comment,verb,A2
communicate,verb,A2
companies,verb,A2
completed,adj,A2
complex,adj,A2
computer,verb,A2
conference,verb,A2
confidence,noun,A2
confirmed,verb,A2
conflict,verb,A2
consequence,noun,A2
conservative,adj,A2
considering,noun,A2
considering,verb,A2
content,adj,A2
content,intj,A2
continues,verb,A2
copy,verb,A2
core,verb,A2
correct,noun,A2
couple,verb,A2
creating,noun,A2
Credit,name,A2
credit,noun,A2
cross,adj,A2
